Stormwater Gallons Saved,CO2 Avoided (in lbs.),kWh Saved,Therms Saved,Pollutants Saved (in lbs.),Property Benefits ($)
56.84,2.6,12.34,6.26,0.03,12.49
1861.6,239.69,97.25,32.48,1.89,23.63
1415.35,240.06,97.4,33.55,1.49,86.57
1652.95,256.55,104.09,37.13,1.63,49.07
141.15,4.33,20.57,9.24,0.05,44.54
557.8,82.04,33.29,14.3,0.53,70.7
21.17,0.73,3.48,1.8,0.01,8.22
660.62,23.31,110.79,40.92,0.26,74.79
356.53,77.14,27.02,13.44,0.55,13.0
1997.59,248.14,100.68,34.58,2.0,22.72
37.14,1.03,4.91,2.43,0.01,31.72
252.67,10.62,50.48,21.15,0.12,34.55
1742.64,305.75,124.05,42.04,1.86,97.39
1299.23,205.67,72.03,27.47,1.31,50.34
628.05,124.42,50.48,21.15,0.84,34.55
1415.35,240.06,97.4,33.55,1.49,86.57
304.0,50.65,20.55,9.08,0.34,49.42
396.59,128.65,45.05,20.82,0.76,66.29
980.2,197.34,69.11,28.86,1.29,70.3
70.75,5.79,27.53,13.29,0.05,56.15
610.21,22.56,107.24,38.97,0.24,69.91
101.94,4.25,20.19,10.14,0.05,15.46
211.4,8.68,41.25,18.76,0.1,30.4
1038.36,215.38,87.39,30.72,1.36,51.11
509.4,21.07,100.16,35.06,0.22,60.14
1804.67,311.36,109.04,41.21,2.04,28.17
414.41,15.79,75.04,26.56,0.15,78.02
2633.65,371.6,130.14,45.23,2.5,85.74
1311.93,242.4,98.35,34.74,1.52,33.55
30.61,0.75,3.58,1.89,0.01,51.88
3942.88,457.93,185.8,63.18,3.16,164.12
488.5,14.5,68.93,21.69,0.2,26.62
4742.01,567.06,230.08,74.27,3.86,87.22
1743.34,277.54,112.61,43.37,1.86,17.59
765.8,113.19,45.92,19.99,0.77,44.13
1266.23,246.85,100.16,35.06,1.58,60.14
59.78,2.79,13.25,6.7,0.03,10.36
417.73,18.39,87.39,30.72,0.19,51.11
1908.25,319.38,129.59,44.82,1.98,100.38
614.57,22.19,105.48,39.05,0.23,29.97
92.81,2.82,13.39,4.97,0.03,43.11
1899.79,51.86,246.49,76.35,0.58,143.53
59.78,2.79,13.25,6.7,0.03,10.36
106.58,23.21,9.42,4.86,0.17,9.67
1510.6,32.56,154.76,57.28,0.38,96.13
1140.93,238.12,96.61,33.11,1.49,55.25
1117.9,201.21,70.47,28.38,1.32,44.37
112.6,21.9,7.67,3.93,0.16,11.06
70.38,2.85,13.53,6.07,0.03,49.74
1204.08,233.62,94.79,32.58,1.44,35.35
1064.02,30.94,147.07,52.78,0.34,116.93
1140.93,238.12,96.61,33.11,1.49,55.25
559.81,21.82,103.7,37.02,0.23,65.02
148.95,6.13,29.12,13.59,0.07,23.7
112.6,21.9,7.67,3.93,0.16,11.06
699.15,117.46,78.16,28.33,0.78,46.97
663.58,27.29,129.69,44.51,0.27,77.97
41.05,1.61,7.67,3.93,0.02,11.06
660.62,23.31,110.79,40.92,0.26,74.79
985.17,220.27,89.37,35.06,1.35,89.43
875.93,160.49,56.21,21.62,1.02,70.88
1465.88,234.43,82.1,31.58,1.54,59.54
25.98,1.17,5.58,3.01,0.01,8.99
3179.27,384.03,155.82,56.9,2.64,53.43
1922.91,354.22,124.05,42.04,2.14,97.39
61.3,2.05,9.76,4.28,0.02,29.15
28.28,0.93,4.42,2.12,0.01,26.83
1209.64,260.48,91.22,30.42,1.56,37.14
293.93,12.56,59.71,23.54,0.13,38.69
293.93,12.56,59.71,23.54,0.13,38.69
321.72,47.71,16.71,7.57,0.32,34.88
86.49,3.58,17.0,8.42,0.04,16.99
252.67,10.62,50.48,21.15,0.12,34.55
841.81,132.9,46.54,20.28,0.86,76.49
2330.9,330.71,134.18,49.6,2.27,101.7
59.12,12.64,4.43,2.43,0.09,9.08
795.05,30.99,147.27,49.85,0.31,78.53
1117.9,201.21,70.47,28.38,1.32,44.37
25.98,1.17,5.58,3.01,0.01,8.99
295.92,6.91,32.87,12.72,0.11,27.17
148.95,6.13,29.12,13.59,0.07,23.7
974.92,125.45,50.9,17.2,0.97,26.89
211.4,8.68,41.25,18.76,0.1,30.4
1440.72,269.92,94.53,32.93,1.62,88.44
417.73,18.39,87.39,30.72,0.19,51.11
1075.96,35.59,169.13,58.71,0.39,74.64
335.2,14.5,68.93,25.94,0.15,42.83
417.73,18.39,87.39,30.72,0.19,51.11
615.67,21.16,100.57,35.15,0.21,49.54
4399.89,476.69,193.41,66.15,3.29,52.16
1038.36,215.38,87.39,30.72,1.36,51.11
527.79,20.69,98.35,34.74,0.21,33.55
965.52,169.44,59.34,25.36,1.13,42.79
1642.11,273.05,110.79,40.92,1.82,74.79
2483.52,242.07,161.08,58.37,1.73,53.63
117.29,3.52,16.71,7.57,0.04,34.88
1583.29,37.84,179.85,62.95,0.44,53.04
3324.09,397.0,161.08,58.37,2.73,53.63
163.96,37.84,13.25,6.7,0.27,10.36
1140.93,238.12,96.61,33.11,1.49,55.25
323.1,66.59,27.02,13.44,0.48,13.0
4875.47,507.56,205.93,68.89,3.51,50.4
211.4,8.68,41.25,18.76,0.1,30.4
559.81,21.82,103.7,37.02,0.23,65.02
197.38,22.74,7.96,4.03,0.16,51.82
1659.39,40.05,190.33,64.24,0.47,171.62
321.72,47.71,16.71,7.57,0.32,34.88
579.84,117.79,41.25,18.76,0.82,30.4
335.2,14.5,68.93,25.94,0.15,42.83
472.68,84.09,29.45,12.54,0.56,35.82
290.44,11.27,53.57,20.38,0.11,41.01
700.58,79.43,27.82,10.79,0.65,26.92
71.06,2.18,10.35,4.26,0.02,45.17
730.63,147.16,59.71,23.54,0.97,38.69
376.46,16.44,78.16,28.33,0.17,46.97
141.9,4.22,20.03,8.32,0.04,64.91
1491.26,299.5,104.89,36.54,1.86,53.08
213.15,30.4,10.65,4.46,0.19,58.58
1743.34,277.54,112.61,43.37,1.86,13.19
919.4,196.83,68.93,25.94,1.27,42.83
36.0,1.57,7.46,3.11,0.02,12.19
4399.89,476.69,193.41,66.15,3.29,52.16
370.24,71.78,29.12,13.59,0.5,23.7
1266.4,231.36,93.87,31.5,1.4,85.16
168.14,27.86,9.76,4.28,0.19,29.15
221.06,9.86,46.87,19.81,0.1,16.4
1862.22,266.19,108.0,39.68,1.73,90.8
1030.1,184.94,75.04,26.56,1.14,78.02
711.03,24.05,114.33,42.87,0.27,79.68
459.0,20.33,96.61,33.11,0.2,55.25
77.22,2.27,10.81,5.0,0.03,33.3
2334.76,297.92,120.88,45.39,1.99,91.98
163.96,37.84,13.25,6.7,0.27,10.36
1527.64,259.97,105.48,39.05,1.69,29.97
260.52,37.97,15.41,6.25,0.26,54.03
614.57,22.19,105.48,39.05,0.23,29.97
1025.45,31.38,149.15,55.27,0.35,66.08
243.82,6.44,30.62,14.21,0.07,51.4
664.98,21.9,104.09,37.13,0.22,49.07
290.44,11.27,53.57,20.38,0.11,41.01
1974.71,208.17,138.52,51.59,1.48,44.62
509.4,21.07,100.16,35.06,0.22,60.14
300.09,46.57,16.31,7.6,0.32,41.84
197.38,22.74,7.96,4.03,0.16,51.82
417.73,18.39,87.39,30.72,0.19,51.11
373.64,69.05,28.02,14.05,0.51,18.29
3235.43,395.95,160.65,50.7,2.81,0.01
208.89,6.92,32.89,14.36,0.08,38.05
2054.86,308.39,108.0,39.68,1.99,90.8
